Load	id	audio file name	loop	startDelay	fadeInDuration	fadeOutDuration	spacialBlend	duplicatePolicy	type	found	Notes
Man											
	walkOnWood								sfx	0	
	walkOnMetal								sfx	0	
	fail								sfx	0	
	success								sfx	0	
	fall								sfx		
	laugh								sfx	0	
	idle1								sfx		
	idle2								sfx		
	idle3								sfx		
System											
											
Level 1											
	lv1BGM								BGM		
	snooze								amb	0	
1	morning	morning1_amb_lv1	-1	0	1	1	0	NOTREPLACE	amb	0	
1	tick0	tick0	1	0	0	0	0	REPLACE	amb		
1	tick1	tick1	1	0	0	0	0	REPLACE	amb		
1	tick2	tick2	1	0	0	0	0	REPLACE	amb	0	
1	alarm	alarmClock1_sfx_lv1	-1	0	0	0	0	NOTREPLACE	sfx	0	
	merryGoRound								sfx		
	ferrisWheel								sfx		
1	platform	movingPlatform_sfx_lv1		0.3	0	0			sfx	0	
1	ladderMove	movingLadder1_sfx_lv1	1	0	0	0	0	REPLACE	sfx	0	
	caseOpen								sfx	0	
	caseClose								sfx	0	
	chain	chain1_sfx_lv1							sfx	0	
	gateOpen								sfx	0	
	gateClose								sfx	0	
1	cog1	cog1_amb_lv1	1	0	0	0	0	REPLACE	amb	0	
	cog2								amb	0	
	cog3								amb	0	
